,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
2351,11114,1,1,1,switzerland,3,0,0,0
2352,11117,1,1,1,united states,3,0,0,0
2364,11371,2,10,4,india,7,5,2,1
2377,2639,2,13,5,spain,9,3,9,1
2378,2653,1,1,1,canada,3,0,0,0
2382,3704,3,3,1,united states,3,6,0,0
2387,9955,0,0,1,ukraine,11,0,0,0
2389,9990,1,1,1,india,1,0,0,0
2390,9993,1,11,10,ireland,5,2,3,2
2393,11660,1,10,6,ireland,6,7,5,3
2407,3664,1,1,1,united states,3,0,0,0
2408,3681,5,5,1,colombia,4,2,4,7
2411,3753,1,2,2,south africa,3,3,0,0
2418,3830,7,7,1,united states,4,5,7,6
2440,4412,6,6,1,united states,14,2,9,1
2444,4460,0,0,1,united states,4,0,0,0
2449,4779,0,0,1,argentina,4,0,0,0
2451,5901,1,6,5,united states,3,3,3,3
2452,5957,1,3,2,united states,2,4,0,0
2453,6108,1,6,6,united states,3,0,0,0
2458,11845,1,1,1,brazil,3,0,0,0
2459,11857,1,2,2,united states,3,3,0,0
2493,1786,1,1,1,germany,3,0,0,0
2495,2737,2,13,5,bangladesh,7,6,7,2
2496,2746,0,1,2,india,5,0,0,0
2517,6229,0,0,1,spain,5,0,0,0
2519,10036,0,0,1,united states,5,0,0,0
2522,2779,1,1,1,singapore,3,0,0,0
2531,2993,8,8,1,greece,4,2,3,0
2543,3901,3,15,4,united states,3,3,3,4
2547,4604,0,0,1,united states,3,0,0,0
2548,11969,0,1,2,united states,3,5,0,0
2550,1718,2,21,8,colombia,2,3,6,7
2552,1724,4,16,4,india,7,14,8,9
2566,4370,0,0,1,spain,5,0,0,0
2570,4428,0,0,1,united states,5,0,0,0
2597,4761,1,3,3,united states,3,3,3,0
2611,1859,1,3,2,germany,3,3,0,0
2624,3244,0,0,2,spain,5,0,0,0
2638,12033,1,2,2,united states,5,9,0,0
2647,2067,2,5,2,united states,3,7,14,7
2652,2180,1,4,4,singapore,3,3,3,3
2659,2280,3,9,3,brazil,2,6,14,7
2665,3101,2,5,2,italy,3,1,7,8
2669,7001,1,5,3,russian federation,10,3,8,3
2677,1994,1,1,1,united kingdom,3,0,0,0
2684,4235,1,1,1,spain,7,0,0,0
2691,7126,1,6,5,tajikistan,5,7,3,0
2692,7132,1,5,5,qatar,3,4,3,2
2695,7331,4,9,2,united states,7,3,6,7
2707,3297,3,3,1,italy,5,0,0,0
2717,3509,1,3,2,india,3,7,5,0
2721,4210,0,0,1,morocco,5,0,0,0
2722,4768,1,1,1,bulgaria,3,0,0,0
2730,2007,1,9,8,india,3,3,3,3
