,event1,event2,event3,event4
1084,B,G,G,G
1085,C,E,G,B
1086,G,B,A,G
1087,H,H,A,B
1088,B,G,F,C
1089,A,B,B,G
1090,B,B,G,B
1091,G,K,G,G
1092,E,G,G,B
1093,B,G,B,C
1094,G,E,B,G
1095,C,H,G,G
1096,G,G,C,B
1097,A,G,B,G
1098,G,G,G,B
1099,B,A,M,B
1100,A,G,B,G
1101,E,E,C,C
1102,H,G,B,G
1103,G,C,G,Q
1104,G,B,C,G
1105,G,B,G,H
1106,B,B,A,G
1107,B,G,F,B
1108,G,C,B,G
1109,B,G,B,B
1110,E,F,G,G
1111,G,G,B,G
1112,B,A,B,A
1113,K,G,B,G
1114,G,G,A,B
1115,E,G,H,B
1116,H,B,B,C
1117,G,C,B,C
1118,B,Q,G,G
1119,E,G,G,C
1120,B,B,E,B
1121,Q,C,B,K
1122,B,G,C,G
1123,G,A,G,A
1124,A,G,B,B
1125,G,G,G,G
1126,C,G,B,G
1127,G,A,A,B
1128,E,G,B,B
1129,G,A,B,G
1130,E,G,B,C
1131,E,B,B,G
1132,Q,G,B,G
1133,G,G,G,B
1134,G,G,B,B
1135,G,B,C,G
1136,K,G,F,G
1137,G,B,D,G
1138,C,G,G,G
1139,B,G,E,B
1140,G,G,G,B
1141,G,G,G,F
1142,B,A,B,G
1143,B,B,G,B
1144,E,G,G,G
1145,B,B,G,M
1146,C,G,C,G
1147,G,G,G,B
1148,B,B,G,G
1149,G,G,G,K
1150,B,B,G,B
1151,B,G,G,B
1152,E,B,G,B
1153,E,B,B,B
1154,E,G,G,G
1155,D,G,G,G
1156,G,B,B,A
1157,C,G,G,G
1158,E,B,G,C
1159,C,E,G,C
1160,G,A,B,G
1161,B,B,B,B
1162,G,H,K,B
1163,G,B,B,B
1164,C,G,B,G
1165,E,B,G,H
1166,G,G,M,C
1167,B,B,C,B
1168,E,G,B,G
1169,G,G,G,G
1170,E,G,A,G
1171,B,G,E,B
1172,A,B,G,F
1173,C,G,B,M
1174,C,G,G,A
1175,B,C,G,G
1176,E,B,G,G
1177,G,B,G,B
1178,G,C,G,G
1179,G,B,H,G
1180,G,G,G,H
1181,B,G,G,A
1182,E,B,A,G
1183,E,G,G,C
1184,A,B,B,B
1185,A,K,G,G
1186,B,A,B,B
1187,E,G,G,G
1188,E,G,B,A
1189,K,F,G,H
1190,G,A,G,A
1191,C,B,G,G
1192,B,G,B,C
1193,E,G,G,A
1194,E,G,B,B
1195,B,G,G,A
1196,K,C,B,A
1197,B,G,B,G
1198,G,G,A,G
1199,B,G,B,B
1200,E,M,E,M
1201,G,G,G,G
1202,G,B,B,G
1203,C,G,G,G
1204,C,H,B,H
1205,A,B,G,B
1206,Q,G,B,G
1207,G,G,G,B
1208,A,B,C,G
1209,G,G,B,A
1210,B,B,B,F
1211,E,A,B,B
1212,B,C,G,G
1213,G,G,B,G
1214,B,A,B,G
1215,E,B,F,A
1216,K,G,B,B
1217,B,G,K,B
1218,B,C,G,G
1219,G,G,E,B
1220,C,B,G,G
1221,G,B,B,G
1222,M,B,B,G
1223,G,G,C,G
1224,G,G,G,C
1225,E,B,B,G
1226,J,G,G,G
1227,E,B,B,B
1228,G,G,B,G
1229,E,G,G,B
1230,G,G,B,H
1231,E,C,M,B
1232,G,B,B,C
1233,E,G,K,G
1234,H,B,B,G
1235,B,B,G,H
1236,G,G,G,G
1237,M,G,A,G
1238,E,G,G,G
1239,C,B,B,B
1240,B,B,B,B
1241,B,A,B,B
1242,E,G,F,G
1243,G,B,B,B
1244,G,E,B,G
1245,K,G,B,G
1246,B,E,G,B
1247,G,C,A,G
1248,G,A,B,H
1249,A,K,B,G
1250,G,B,G,G
1251,G,A,G,B
1252,E,C,G,G
1253,G,G,B,G
1254,E,B,G,B
1255,G,A,A,G
1256,E,G,G,B
1257,E,C,G,C
1258,C,C,G,B
1259,G,B,B,G
1260,G,B,G,G
1261,B,C,K,C
1262,E,B,C,G
1263,Q,C,C,G
1264,E,G,B,A
1265,E,K,G,B
1266,G,G,B,G
1267,G,G,B,G
1268,B,B,B,B
1269,B,B,G,B
1270,G,B,B,G
1271,G,G,G,B
1272,G,G,B,B
1273,B,A,C,G
1274,E,G,G,G
1275,B,G,C,G
1276,G,H,G,G
1277,E,E,B,B
1278,G,G,B,A
1279,B,G,G,M
1280,G,B,C,A
1281,E,H,G,B
1282,A,G,C,G
1283,B,A,B,B
1284,G,H,B,G
1285,E,C,B,G
1286,F,A,G,B
1287,G,A,B,B
1288,C,C,G,B
1289,A,A,B,B
1290,E,B,B,A
1291,B,A,A,B
1292,G,G,B,B
1293,B,G,B,G
1294,E,C,B,C
1295,G,E,B,B
1296,H,B,G,G
1297,G,G,A,G
1298,A,B,G,G
1299,E,G,B,B
1300,B,B,B,B
1301,C,B,C,A
1302,B,G,B,B
1303,H,G,B,C
1304,G,G,G,F
1305,G,G,B,C
1306,B,B,G,B
1307,E,C,Q,C
1308,B,G,B,B
1309,G,D,G,G
1310,A,G,C,B
1311,C,C,H,C
1312,E,G,A,G
1313,B,G,D,B
1314,B,M,G,B
1315,E,B,A,B
1316,B,A,A,M
1317,E,A,G,B
1318,B,C,C,G
1319,B,B,G,B
1320,C,C,B,G
1321,G,C,B,H
1322,E,B,C,B
1323,B,G,G,B
1324,G,G,B,G
1325,B,C,G,G
1326,C,B,B,B
1327,E,G,M,G
1328,G,G,G,B
1329,E,G,G,G
1330,C,G,G,M
1331,G,B,B,G
1332,G,C,C,H
1333,C,B,C,C
1334,B,B,G,B
1335,E,G,G,G
1336,K,H,B,G
1337,B,C,G,C
1338,G,M,G,G
1339,B,A,M,B
1340,B,G,G,B
1341,A,H,G,G
1342,E,G,G,B
1343,C,G,G,G
1344,G,B,J,B
1345,E,G,G,G
1346,G,B,G,G
1347,G,B,B,A
1348,G,B,G,G
1349,B,G,B,B
1350,G,G,C,G
1351,G,A,G,H
1352,E,G,G,G
1353,B,G,B,C
1354,G,G,G,C
